date,median,mean_7
5/8/19,3.192210874,5.31537649
5/9/19,1.780330802,3.879011161
5/10/19,6.29061096,3.719591127
5/11/19,9.584857337,5.461892869
5/12/19,12.66812445,8.964097349
5/13/19,3.584845417,9.369864382
5/14/19,6.653820386,9.931460775
5/15/19,12.61312713,13.69826076
5/16/19,10.78426075,16.39744585
5/17/19,5.724393609,16.27533765
5/18/19,6.858726988,15.38202419
5/19/19,7.949045273,13.51008387
5/20/19,11.9247234,16.46215615
5/21/19,4.190481064,15.94799447
5/22/19,15.91631043,17.18313535
5/23/19,4.969321707,15.16055721
5/24/19,4.820398897,14.94308799
5/25/19,1.900937339,13.73972362
5/26/19,1.169415808,12.10030863
5/27/19,1.937445384,8.843905125
5/28/19,2.681113424,8.469925835
5/29/19,2.29648243,3.309795908
5/30/19,7.301259022,3.840835821
5/31/19,7.460179042,4.542304155
6/1/19,6.943798407,5.708048443
6/2/19,7.121654999,6.963741982
6/3/19,5.12711815,7.613175456
6/4/19,3.207678656,7.722122872
6/5/19,4.998802974,8.310715469
6/6/19,6.276355564,8.079902293
6/7/19,2.945996218,6.951353725
6/8/19,5.298658514,6.507330536
6/9/19,6.030804505,6.242796925
6/10/19,2.93042327,5.759084133
6/11/19,3.276413082,5.76847634
6/12/19,5.195305085,5.805530878
6/13/19,6.518321658,5.823138868
6/14/19,2.398056049,5.72152083
6/15/19,7.643680592,6.379543544
6/16/19,5.522427056,6.245107557
6/17/19,1.985734339,6.087094859
6/18/19,1.270724945,5.765925976
6/19/19,0.8477526,4.937992346
6/20/19,1.596458863,3.918589042
6/21/19,1.082610976,3.735601799
6/22/19,4.130062947,2.783939798
6/23/19,1.59532413,1.981443429
6/24/19,0.340263032,1.758339881
6/25/19,0.870147048,1.703072041
6/26/19,1.903174458,1.847485004
6/27/19,1.944534751,1.900254548
6/28/19,0.347468904,1.803595564
6/29/19,0.505976822,1.185720262
6/30/19,1.255516008,1.142258075
7/1/19,0.964867434,1.225759976
7/2/19,3.662333604,1.70462247
7/3/19,2.092140032,1.733060179
7/4/19,2.235809564,1.774189576
7/5/19,1.505164246,1.924774901
7/6/19,1.538624022,2.06132653
7/7/19,3.955534095,2.565589026
7/8/19,2.381555312,2.763788194
7/9/19,7.481049406,3.918236171
7/10/19,4.991512155,4.566346294
7/11/19,3.627649313,4.862722833
7/12/19,2.85449299,5.08995854
7/13/19,1.253361532,5.051379564
7/14/19,1.704084977,4.605256611
7/15/19,1.415363453,4.463424562
7/16/19,1.042909696,2.855341128
7/17/19,0.629530034,2.003530873
7/18/19,1.029890802,1.537862118
7/19/19,0.966246087,1.240576639
7/20/19,1.762806011,1.310215548
7/21/19,0.536166581,1.154954635
7/22/19,0.191092831,0.997394563
7/23/19,0.243673709,0.894006332
7/24/19,0.256640509,0.849534293
7/25/19,0.43328171,0.772295651
7/26/19,0.306994088,0.685813884
7/27/19,0.646411219,0.535938603
7/28/19,1.507231697,0.663835655
7/29/19,2.41727113,0.968403564
7/30/19,1.359885766,1.112873906
7/31/19,1.214120667,1.236310396
8/1/19,1.397769131,1.363325791
8/2/19,1.795048334,1.558738281
8/3/19,2.585851967,1.830900299
8/4/19,1.176762151,1.786805296
8/5/19,0.414147607,1.502063536
8/6/19,0.495233908,1.380668783
